project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
cocoon||cocoon-slide,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,7,NA,NA,NA
net.sf.doolin||Doolin-Template,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
de.viaboxx||nlstools,NA,1,NA,NA,NA,7,9,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,1
org.trailsframework||tapestry-conversations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.archiva||archiva-model,40,NA,NA,8,NA,328,NA,1,NA,NA,NA,44,NA,NA,NA,NA,296,NA,NA,NA
org.apache.maven.mercury||mercury-transport-api,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,16,NA,NA,NA,4,NA,NA,NA
org.apache.jdo||jdo2-util,1,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA
org.hdiv||hdiv-spring-mvc-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.redback||redback-keys-tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.unitils||unitils-mock,15,NA,NA,3,NA,8,1,3,NA,13,28,8,34,NA,1,11,17,NA,NA,NA
com.ovea||i18n,1,NA,NA,3,NA,NA,15,1,NA,10,1,NA,5,NA,3,2,3,NA,NA,NA
org.jbehave||jbehave-weld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.aries.web||org.apache.aries.web.urlhandler,1,3,NA,NA,NA,6,3,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,1
org.apache.servicemix.kernel.gshell||org.apache.servicemix.kernel.gshell.osgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.jakewharton||github-deploy-maven-plugin,NA,NA,NA,2,NA,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.ws.scout||scout,33,NA,NA,163,NA,126,NA,26,NA,40,NA,7,NA,2,NA,3,276,4,NA,NA
org.kantega.jexmec||jexmec-groovy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,4,NA,NA
