project,version,jarsize,INPUT_VALIDATION_BUGS,SECURITY_REST,MALICIOUS_CODE,STYLE,CORRECTNESS,BAD_PRACTICE,MT_CORRECTNESS,I18N,PERFORMANCE,EXPERIMENTAL
excalibur-event||excalibur-event,1,91546,NA,NA,1,7,NA,11,NA,9,7,NA
excalibur-event||excalibur-event,2,40705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
excalibur-event||excalibur-event,3,90989,NA,NA,1,7,NA,11,NA,9,7,NA
org.dasein||dasein-persist,1,368131,NA,NA,1,14,5,14,11,3,28,5
org.dasein||dasein-persist,2,359774,NA,NA,1,14,2,12,8,2,19,4
org.onebusaway||onebusaway-gtfs-transformer,1,268107,NA,NA,10,1,2,9,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,2,278728,NA,NA,13,NA,2,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,3,285909,NA,NA,13,NA,2,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,4,282760,NA,NA,13,NA,2,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,5,307030,NA,NA,13,NA,1,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,6,307030,NA,NA,13,NA,1,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,7,307030,NA,NA,13,NA,1,10,1,6,2,NA
org.onebusaway||onebusaway-gtfs-transformer,8,128921,NA,NA,3,NA,1,3,NA,2,NA,NA
org.onebusaway||onebusaway-gtfs-transformer,9,122438,NA,NA,3,NA,1,3,NA,2,NA,NA
org.onebusaway||onebusaway-gtfs-transformer,10,122438,NA,NA,3,NA,1,3,NA,2,NA,NA
org.igniterealtime.smack||smackx,0,988391,NA,NA,42,12,1,5,15,2,10,NA
org.apache.qpid||qpid-common,1,2714800,NA,NA,95,15,6,14,3,8,4,NA
org.apache.abdera||abdera-extensions-json,0,38245,NA,NA,1,3,1,NA,NA,NA,1,NA
org.apache.abdera||abdera-extensions-json,0,38228,NA,NA,1,3,1,NA,NA,NA,1,NA
org.apache.abdera||abdera-extensions-json,0,38230,NA,NA,1,2,NA,NA,NA,NA,1,NA
org.apache.abdera||abdera-extensions-json,0,38333,NA,NA,1,3,1,NA,NA,NA,1,NA
org.apache.abdera||abdera-extensions-json,0,38333,NA,NA,1,3,1,NA,NA,NA,1,NA
org.ow2.petals||petals-launcher,1,19821,NA,NA,3,NA,NA,5,NA,1,NA,NA
org.ow2.petals||petals-launcher,2,36690,NA,NA,NA,NA,NA,2,NA,1,1,NA
org.ow2.petals||petals-launcher,3,45629,NA,NA,NA,NA,NA,4,1,1,2,NA
org.ow2.petals||petals-launcher,4,46269,NA,NA,NA,NA,NA,4,1,1,2,NA
org.ow2.petals||petals-launcher,5,45724,NA,NA,1,NA,NA,4,NA,1,2,NA
org.ow2.petals||petals-launcher,6,56822,NA,NA,1,1,NA,4,NA,1,5,NA
org.ow2.petals||petals-launcher,7,59754,NA,NA,1,2,NA,4,NA,1,5,NA
org.ow2.petals||petals-launcher,8,61336,NA,NA,1,2,NA,4,NA,1,5,NA
org.ow2.petals||petals-launcher,9,65202,NA,NA,1,3,NA,5,NA,2,5,NA
org.ow2.petals||petals-launcher,10,65202,NA,NA,1,3,NA,5,NA,2,5,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,64302,NA,NA,11,5,NA,NA,NA,NA,NA,NA
